t,experiment_id,user,current_round
260213.04456673,39,Shawnda,0
260223.842451892,39,Shawnda,1
260235.525592789,39,Shawnda,2
260249.201119977,39,Shawnda,3
260260.248409093,39,Shawnda,4
260273.833948949,39,Shawnda,5
260286.070892606,39,Shawnda,6
260299.194828334,39,Shawnda,7
260311.960694048,39,Shawnda,8
260323.742211282,39,Shawnda,9
260336.609086547,39,Shawnda,10
260347.603427463,39,Shawnda,11
260358.736466854,39,Shawnda,12
260369.398995921,39,Shawnda,13
260380.133121625,39,Shawnda,14
260390.986814259,39,Shawnda,15
260401.733572022,39,Shawnda,16
260413.65609847,39,Shawnda,17
260426.521907996,39,Shawnda,18
260438.003204795,39,Shawnda,19
260449.035474799,39,Shawnda,20
260459.559703957,39,Shawnda,21
260469.96004676,39,Shawnda,22
260480.002399949,39,Shawnda,23
260490.099723058,39,Shawnda,24
