t,experiment_id,user,current_round
260213.348809691,39,Renna,0
260224.100895065,39,Renna,1
260235.771418169,39,Renna,2
260249.512876201,39,Renna,3
260260.796791181,39,Renna,4
260274.170736336,39,Renna,5
260286.500867275,39,Renna,6
260299.450824578,39,Renna,7
260312.207464424,39,Renna,8
260324.082234101,39,Renna,9
260336.869501665,39,Renna,10
260347.867995272,39,Renna,11
260359.030364894,39,Renna,12
260369.662703947,39,Renna,13
260380.381617024,39,Renna,14
260391.281973684,39,Renna,15
260401.981225623,39,Renna,16
260413.902629696,39,Renna,17
260426.791882889,39,Renna,18
260438.382396887,39,Renna,19
260449.378803912,39,Renna,20
260460.009036301,39,Renna,21
260470.614868258,39,Renna,22
260480.696338185,39,Renna,23
260491.064707555,39,Renna,24
