t,experiment_id,user,current_round
260213.682533313,39,Nadia,0
260224.885003875,39,Nadia,1
260235.974855225,39,Nadia,2
260249.797804463,39,Nadia,3
260265.958371392,39,Nadia,4
260279.386924249,39,Nadia,5
260293.861937455,39,Nadia,6
260306.991039723,39,Nadia,7
260317.871778606,39,Nadia,8
260328.084460552,39,Nadia,9
260339.492162449,39,Nadia,10
260351.383761939,39,Nadia,11
260361.582794049,39,Nadia,12
260372.88630553,39,Nadia,13
260384.504191559,39,Nadia,14
260394.809669279,39,Nadia,15
260406.588494162,39,Nadia,16
260417.95354746,39,Nadia,17
260428.559653886,39,Nadia,18
260440.273425678,39,Nadia,19
260451.245392774,39,Nadia,20
260461.641519691,39,Nadia,21
260471.934903864,39,Nadia,22
260482.049915894,39,Nadia,23
260492.265910524,39,Nadia,24
