t,experiment_id,user,current_round
260208.456505675,13,Denver,0
260218.977116085,13,Denver,1
260230.965387061,13,Denver,2
260241.915559551,13,Denver,3
260253.954919762,13,Denver,4
260267.710689829,13,Denver,5
260283.32527316,13,Denver,6
260298.40420722,13,Denver,7
260311.936385926,13,Denver,8
260324.502274154,13,Denver,9
260334.981506008,13,Denver,10
260345.970634301,13,Denver,11
260357.769488613,13,Denver,12
260368.908420625,13,Denver,13
260379.895409667,13,Denver,14
260391.053324443,13,Denver,15
260403.22251702,13,Denver,16
260414.198472412,13,Denver,17
260425.379225789,13,Denver,18
260437.099017825,13,Denver,19
260448.775383738,13,Denver,20
260459.253076347,13,Denver,21
