t,experiment_id,user,current_round
260208.115610662,13,Many,0
260218.729385548,13,Many,1
260229.49013645,13,Many,2
260241.656759055,13,Many,3
260253.599696061,13,Many,4
260267.3972673,13,Many,5
260282.915874502,13,Many,6
260297.863068623,13,Many,7
260311.671071631,13,Many,8
260324.200541787,13,Many,9
260334.708811818,13,Many,10
260345.733756998,13,Many,11
260356.066386071,13,Many,12
260367.799459988,13,Many,13
260378.91049079,13,Many,14
260390.781403679,13,Many,15
260401.045089136,13,Many,16
260412.185189982,13,Many,17
260423.544552736,13,Many,18
260435.347927197,13,Many,19
260447.064166618,13,Many,20
260457.465891985,13,Many,21
