t,user,current_round
188494.445519154,Delaine,0
188504.455834542,Delaine,1
188514.517080021,Delaine,2
188524.549272394,Delaine,3
188534.552354273,Delaine,4
188544.566785016,Delaine,5
188554.600474994,Delaine,6
188564.615445358,Delaine,7
188574.624894853,Delaine,8
188584.627985301,Delaine,9
188594.641512897,Delaine,10
188604.644483562,Delaine,11
188614.646489287,Delaine,12
188624.659583801,Delaine,13
188634.67849429,Delaine,14
188644.686877407,Delaine,15
188654.692054651,Delaine,16
188664.702318142,Delaine,17
188674.717698133,Delaine,18
188684.721458631,Delaine,19
188694.722638375,Delaine,20
188704.724911875,Delaine,21
188714.746825006,Delaine,22
188724.769654966,Delaine,23
188734.775190983,Delaine,24
188744.787137511,Delaine,25
188754.790105554,Delaine,26
188764.796832034,Delaine,27
188774.804113244,Delaine,28
188784.815152216,Delaine,29
188794.819155412,Delaine,30
188804.82562091,Delaine,31
188814.833961005,Delaine,32
188824.843323413,Delaine,33
188834.850714672,Delaine,34
188844.856949368,Delaine,35
188854.861731852,Delaine,36
188864.863505397,Delaine,37
188874.868357622,Delaine,38
188884.876252322,Delaine,39
188894.885004189,Delaine,40
188904.893992417,Delaine,41
188914.898255138,Delaine,42
188924.899316636,Delaine,43
188934.909369629,Delaine,44
188944.909496225,Delaine,45
188954.912853162,Delaine,46
188964.915365308,Delaine,47
188974.918523412,Delaine,48
188984.92202567,Delaine,49
188994.934253719,Delaine,50
189004.944857552,Delaine,51
189014.952276565,Delaine,52
189024.957611199,Delaine,53
189034.960541014,Delaine,54
189044.965038885,Delaine,55
189054.966415545,Delaine,56
189064.975293108,Delaine,57
189074.978809421,Delaine,58
189084.980484706,Delaine,59
