t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success
167082.444834416,todsfshih476,Angelita,6,3n1k98,73,2007814079,1,0,0,228,True
167082.803096385,todsfshih476,Angelita,6,3n1k98,6,1875735097,2,0,0,100,True
167083.161403968,todsfshih476,Angelita,6,3n1k98,20,3966172119,2,0,0,100,True
167106.523432734,todsfshih476,Angelita,9,d1wh07,27,3979615334,1,0,0,228,True
167107.227950468,todsfshih476,Angelita,9,d1wh07,79,3274655223,1,0,0,228,True
167108.604879349,todsfshih476,Angelita,9,d1wh07,27,1387653252,1,0,0,228,True
167117.227510649,todsfshih476,Angelita,10,3n1k98,7,1714995071,1,0,0,228,True
167118.618466239,todsfshih476,Angelita,10,3n1k98,17,639365050,1,0,0,228,True
167122.885100209,todsfshih476,Angelita,10,3n1k98,76,2635762523,1,0,0,228,False
167123.574889722,todsfshih476,Angelita,10,3n1k98,55,197850795,1,0,0,228,True
167124.849380713,todsfshih476,Angelita,10,3n1k98,62,1473371897,1,0,0,228,True
167124.95887567,todsfshih476,Angelita,10,3n1k98,55,197850795,1,0,0,228,False
167126.933595838,todsfshih476,Angelita,11,3n1k98,19,304142067,1,0,0,228,True
167138.619631715,todsfshih476,Angelita,12,3n1k98,17,3417455735,1,0,0,228,True
167139.334474292,todsfshih476,Angelita,12,3n1k98,76,2198078358,1,0,0,228,True
167140.020164034,todsfshih476,Angelita,12,3n1k98,21,4168724189,1,0,0,228,True
167140.741432203,todsfshih476,Angelita,12,3n1k98,22,3312464236,1,0,0,228,True
167141.102246766,todsfshih476,Angelita,12,3n1k98,22,3662633829,2,0,0,100,True
167141.782859384,todsfshih476,Angelita,12,3n1k98,62,3529912040,1,0,0,228,True
167142.143814309,todsfshih476,Angelita,12,3n1k98,76,3573067213,2,0,0,100,True
167142.83141163,todsfshih476,Angelita,12,3n1k98,22,3312464236,1,0,0,228,True
167143.528344611,todsfshih476,Angelita,12,3n1k98,55,877096199,1,0,0,228,True
167144.219156421,todsfshih476,Angelita,12,3n1k98,21,2137810481,1,0,0,228,True
167144.583196683,todsfshih476,Angelita,12,3n1k98,22,684409487,2,0,0,100,True
167144.943355316,todsfshih476,Angelita,12,3n1k98,55,4106318499,2,0,0,100,True
167145.301631062,todsfshih476,Angelita,12,3n1k98,62,549097074,2,0,0,100,True
167146.665499154,todsfshih476,Angelita,13,3n1k98,55,2523180945,1,0,0,228,True
167148.466066388,todsfshih476,Angelita,13,3n1k98,55,1676984413,2,0,0,100,True
167149.189070175,todsfshih476,Angelita,13,3n1k98,55,1676984413,2,0,0,100,True
